layer,pt_shape,onnx_shape,shape_match,mean_abs_diff,max_abs_diff,l2_diff,cosine_similarity,pt_mean,onnx_mean,pt_std,onnx_std
input.obs_flat,"[1, 4797]","[1, 4797]",True,0.0,0.0,0.0,0.9999999999999997,-0.022316183615196505,-0.022316183615196505,0.9934394321527481,0.9934394321527481
split.obs,"[1, 117]","[1, 117]",True,0.0,0.0,0.0,0.9999999999999889,-0.152803636314228,-0.152803636314228,0.8637886562735976,0.8637886562735976
split.obs_hist,"[1, 4680]","[1, 4680]",True,0.0,0.0,0.0,0.9999999999999996,-0.019053997297720716,-0.019053997297720716,0.9962456352124376,0.9962456352124376
adaptation_module.0,"[1, 256]","[1, 256]",True,1.727654307615012e-06,1.9073486328125e-05,4.64935213886041e-05,0.9999999999999578,-0.6605247097686515,-0.6605247076513479,10.002991533722719,10.002991686965288
adaptation_module.1,"[1, 256]","[1, 256]",True,9.375035006087273e-07,9.5367431640625e-06,2.6734951059144106e-05,0.9999999999999593,1.783745692056982,1.7837458104331745,5.587343031753702,5.587343110287335
adaptation_module.2,"[1, 32]","[1, 32]",True,3.3620744943618774e-06,1.52587890625e-05,2.5523910144526147e-05,0.9999999999999603,0.7916970395017415,0.7916971400845796,16.027053454046733,16.027053186371393
adaptation_module.3,"[1, 32]","[1, 32]",True,1.9688159227371216e-06,9.5367431640625e-06,1.6755638516940206e-05,0.9999999999999575,5.942999704973772,5.942999872611836,7.715981571668467,7.715982529797423
adaptation_module.4,"[1, 18]","[1, 18]",True,2.304712931315104e-06,4.76837158203125e-06,1.1262596911365207e-05,0.9999999999999937,0.044300476710001625,0.04430038399166531,7.492268949191481,7.492271490147593
concat.obs_latent,"[1, 135]","[1, 135]",True,3.072950575086806e-07,4.76837158203125e-06,1.1262596911365207e-05,0.9999999999999903,-0.12652308791099737,-0.1265231002734422,2.8523116826369037,2.8523125718192226
actor.0,"[1, 512]","[1, 512]",True,5.807341949548572e-07,2.86102294921875e-06,1.6674489782207233e-05,0.9999999999999848,0.12225556887278799,0.12225558694262872,2.2214760112222267,2.221476640888866
actor.1,"[1, 512]","[1, 512]",True,3.558889147825539e-07,2.384185791015625e-06,1.199915195540019e-05,0.9999999999999841,0.6394357724784641,0.639436003890296,1.5753921234254955,1.5753925029839162
actor.2,"[1, 256]","[1, 256]",True,9.392533684149384e-07,4.76837158203125e-06,2.083795748336768e-05,0.9999999999999706,-0.2769359212979907,-0.2769361326645594,4.263914829735868,4.263915615709194
actor.3,"[1, 256]","[1, 256]",True,4.4153603084851056e-07,4.76837158203125e-06,1.3371800648319734e-05,0.9999999999999716,1.0837990770542092,1.0837992693996057,2.796881322374989,2.7968817151090044
actor.4,"[1, 128]","[1, 128]",True,1.1195661500096321e-06,6.67572021484375e-06,1.7832830417041925e-05,0.9999999999999594,-0.9891192405484617,-0.9891193901421502,4.7190608485057925,4.719061612667308
actor.5,"[1, 128]","[1, 128]",True,4.707253538072109e-07,5.7220458984375e-06,1.0206068989417156e-05,0.9999999999999666,0.9521968906628899,0.9521970993373543,2.700027450998742,2.7000279381609884
actor.6,"[1, 12]","[1, 12]",True,6.233652432759603e-07,1.9073486328125e-06,2.688328067982016e-06,0.999999999999975,-0.7734159827232361,-0.7734159554044405,3.6774220888773677,3.6774218503610463
